trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-117.92488416440389,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-198.91032353547064,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-92.35641964229978,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,10,-54.19100489892325,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-126.5084787076352,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-257.2440752541857,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-103.00580773918317,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,7,-18.84453661501384,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,8,6.22123330581701,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-16.624923093237047,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-72.4737137076463,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,16,-2.700427512999985,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-26.203420577611436,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-8.272833792687196,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-19.59560391593124,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-28.939080048521443,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-29.96878677850856,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-28.13812226286369,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,8,-52.58484763231622,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,8,-16.178186780358043,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,8,28.852621660941193,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,12,6.131833934292794,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-9.966736282906096,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,5,12.10558941380489,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,16.14267259829095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,26.591470777556875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,16,6.373612773481792,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,16.021987543565185,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,-2.3789418678499397,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,13,-101.53484254601995,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 2}",1
