trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.98, 'e': 0.98}",20,0,-129.4162592156256,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.98, 'e': 0.9603999999999999}",25,0,-146.96190325307685,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.98, 'e': 0.9411919999999999}",20,1,-72.32980958907348,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.98, 'e': 0.9223681599999999}",20,0,-125.34247370532754,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.98, 'e': 0.9039207967999998}",20,0,-155.81695600403827,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.98, 'e': 0.8858423808639998}",25,0,-67.01529169185412,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.98, 'e': 0.8681255332467198}",20,0,-76.4819841752907,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.98, 'e': 0.8507630225817854}",20,0,-68.78488691611386,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.98, 'e': 0.8337477621301497}",20,0,-75.23826159703826,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.98, 'e': 0.8170728068875467}",25,0,-135.03737631534582,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.98, 'e': 0.8007313507497957}",20,0,-90.4504344039396,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.98, 'e': 0.7847167237347998}",25,0,-90.28020788475214,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.98, 'e': 0.7690223892601038}",30,0,-131.88764018054243,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.98, 'e': 0.7536419414749017}",20,0,-11.674229207004162,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.98, 'e': 0.7385691026454037}",20,5,-43.960666459370344,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.98, 'e': 0.7237977205924956}",20,6,-18.369686443015027,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.98, 'e': 0.7093217661806457}",20,0,-150.36962728543455,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
18,False,"{'a': 0.98, 'e': 0.6951353308570327}",20,4,-102.120008452905,"{0: 10, 1: 0, 2: 2, 3: 3, 4: 1}",1
19,False,"{'a': 0.98, 'e': 0.6812326242398921}",35,15,-46.289327994545594,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.98, 'e': 0.6676079717550942}",30,0,-20.40592727263323,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.98, 'e': 0.6542558123199923}",30,0,-89.1606164990624,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.98, 'e': 0.6411706960735924}",20,0,-93.91319492074533,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.98, 'e': 0.6283472821521205}",20,0,-44.55836750447811,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.98, 'e': 0.6157803365090782}",25,2,-70.74469233133665,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 0}",1
25,False,"{'a': 0.98, 'e': 0.6034647297788965}",20,7,-52.29412416895854,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.98, 'e': 0.5913954351833186}",25,10,-36.62383598032629,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.98, 'e': 0.5795675264796523}",20,3,-43.603375962810404,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.98, 'e': 0.5679761759500592}",25,18,10.18525600441216,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.98, 'e': 0.5566166524310581}",20,9,4.191663604130111,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.98, 'e': 0.5454843193824369}",30,0,-104.03543708364266,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.98, 'e': 0.5345746329947881}",30,22,3.976797341383748,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.98, 'e': 0.5238831403348924}",20,0,-70.42805425358033,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.98, 'e': 0.5134054775281945}",20,11,4.561982478492099,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.98, 'e': 0.5031373679776306}",25,1,-25.498411798369702,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.98, 'e': 0.493074620618078}",20,0,9.10040861115168,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.98, 'e': 0.48321312820571644}",20,10,-14.4807385803785,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.98, 'e': 0.4735488656416021}",20,10,-6.479442306927836,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.98, 'e': 0.46407788832877006}",30,0,-4.526630448431606,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.98, 'e': 0.45479633056219465}",25,3,-43.14915131398766,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.98, 'e': 0.44570040395095073}",30,10,-19.81056242749923,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",1
41,False,"{'a': 0.98, 'e': 0.4367863958719317}",20,12,-18.4808812803734,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.98, 'e': 0.42805066795449304}",20,3,-89.72082746260917,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
43,False,"{'a': 0.98, 'e': 0.41948965459540316}",20,0,31.766150983546655,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.98, 'e': 0.4110998615034951}",20,0,-86.08129162007022,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.98, 'e': 0.4028778642734252}",30,15,-28.65599821047611,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.98, 'e': 0.39482030698795667}",35,20,11.738040214972777,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.98, 'e': 0.38692390084819756}",20,8,7.960121642226651,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.98, 'e': 0.3791854228312336}",30,22,-4.464747996235726,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.98, 'e': 0.37160171437460887}",20,0,-25.757767535803847,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.98, 'e': 0.3641696800871167}",20,0,17.80821856914886,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.98, 'e': 0.35688628648537435}",20,5,-7.462020284794468,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.98, 'e': 0.34974856075566685}",20,0,-3.075557894522232,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
