trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",30,0,-151.75990246464727,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.99, 'e': 0.9801}",20,0,-126.70688433073181,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.99, 'e': 0.9702989999999999}",20,0,-121.53932979306217,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",35,0,-209.38902573452623,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",30,0,-197.8415583268264,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 4}",0
6,False,"{'a': 0.99, 'e': 0.9414801494009999}",20,0,-59.5325752064311,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",25,0,-143.04782296077337,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.99, 'e': 0.92274469442792}",35,0,-245.41762969076356,"{0: 20, 1: 2, 2: 6, 3: 4, 4: 3}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836407}",25,0,-22.052933314697828,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088043}",25,0,-180.76171767343033,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587163}",25,0,-92.72520864963612,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161291}",25,0,-43.85755458258302,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-122.82093735676776,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689781}",20,0,-100.6867624094884,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412883}",30,0,-121.08551008420014,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948754}",20,6,-67.19471780328006,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.99, 'e': 0.8429431933839266}",20,0,-110.01866806108865,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500874}",25,0,-59.89011075197725,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355865}",30,0,-157.62618962209214,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.99, 'e': 0.8179069375972307}",20,9,-19.300366745310843,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.99, 'e': 0.8097278682212583}",25,0,-177.01752239204578,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390458}",35,7,-177.4067327191623,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 3}",1
23,False,"{'a': 0.99, 'e': 0.7936142836436553}",25,0,10.836087657882068,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,0,-92.34039576115546,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991465}",35,0,-103.80766389277402,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",20,0,-196.98832612532559,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",30,8,-20.181661719574286,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.99, 'e': 0.7547192872036325}",20,0,-17.219209933674325,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",25,0,-51.53526096111386,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",20,0,-31.908186177824902,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.99, 'e': 0.7323033696543974}",20,0,-118.52740874027302,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.99, 'e': 0.7249803359578534}",20,0,-77.14461258501827,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.99, 'e': 0.7177305325982748}",20,0,-53.974020418323015,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",30,17,-43.24670549569435,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",30,0,-68.30805234859024,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",25,0,-115.46293116234574,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
37,False,"{'a': 0.99, 'e': 0.6894490858690777}",20,0,-77.11272087445126,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.99, 'e': 0.682554595010387}",20,0,-49.35912407526762,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.99, 'e': 0.6757290490602831}",20,0,15.690520011042656,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.99, 'e': 0.6689717585696803}",20,5,-53.67045116240705,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.99, 'e': 0.6622820409839835}",20,0,-16.02564990519186,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",25,0,-36.76442119745641,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",20,0,-20.527797253018868,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",25,0,-57.85995112775911,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",35,5,-94.55939477415912,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",1
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",25,0,-81.77969497592822,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.99, 'e': 0.6235253948912}",20,5,-8.171846488035829,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.99, 'e': 0.617290140942288}",20,6,-42.741782187643715,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
49,False,"{'a': 0.99, 'e': 0.6111172395328651}",30,18,1.1709940868067907,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.99, 'e': 0.6050060671375365}",30,0,-39.92921670552839,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.99, 'e': 0.5989560064661611}",35,18,-32.45401150424455,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",20,0,-28.148886640279184,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",25,0,-91.11748246755559,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",20,6,-119.3170336133797,"{0: 5, 1: 4, 2: 3, 3: 0, 4: 2}",1
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",25,0,-60.0994775425635,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",30,21,2.1221636212473243,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.99, 'e': 0.5639051904523876}",30,18,-22.436484340636042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.99, 'e': 0.5582661385478638}",35,4,-45.496337732003866,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 1}",1
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",25,0,-83.84369470403352,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,9,-38.229071599584586,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,0,-25.204635069150665,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.99, 'e': 0.536268225207185}",20,0,-71.85735598138477,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",30,16,-25.216275684111974,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.99, 'e': 0.525596487525562}",25,0,-154.24511347208806,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,2,-66.94808455972793,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",25,17,4.084132342065084,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",25,18,-1.2587026217311204,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",25,7,15.023041248402961,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",25,0,-27.913663918164968,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",20,0,-21.46614342850882,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",30,14,-28.126660279309043,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",35,11,-5.258322119516902,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",25,2,-78.23144549567195,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 0}",1
74,False,"{'a': 0.99, 'e': 0.475340042005707}",25,16,2.998852484893785,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.99, 'e': 0.47058664158564995}",25,0,5.139803044149281,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.99, 'e': 0.4658807751697934}",20,8,12.739145912955276,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.99, 'e': 0.4612219674180955}",25,2,-134.8537377051365,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 3}",1
78,False,"{'a': 0.99, 'e': 0.45660974774391455}",25,0,-48.0514433838709,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.99, 'e': 0.4520436502664754}",25,0,-105.08110696202421,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
80,False,"{'a': 0.99, 'e': 0.44752321376381066}",20,10,-6.318500019921896,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.99, 'e': 0.44304798162617254}",25,17,1.9205608926128444,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.99, 'e': 0.4386175018099108}",30,17,-28.365049111189336,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
