trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",30,6,-151.34987494953495,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 2}",1
2,False,"{'a': 0.99, 'e': 0.9801}",20,0,-115.78840680931607,"{0: 10, 1: 0, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.9702989999999999}",20,0,-144.77987908680544,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",35,0,-250.96617185029547,"{0: 19, 1: 1, 2: 11, 3: 0, 4: 4}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,0,-70.67209767915199,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.99, 'e': 0.9414801494009999}",25,0,-99.63030059142666,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",35,4,-142.41310342041493,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 2}",1
8,False,"{'a': 0.99, 'e': 0.92274469442792}",20,0,-164.5892723930171,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836407}",30,0,-123.89824323102467,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088043}",25,13,-57.826246122766484,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.99, 'e': 0.8953382542587163}",20,0,-75.9251715154009,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161291}",25,0,-54.696358733502095,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,5,-119.51919849800983,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 2}",1
14,False,"{'a': 0.99, 'e': 0.8687458127689781}",25,0,-79.904272995814,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412883}",20,0,-74.31161215219376,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948754}",30,0,-86.53685912999094,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839266}",20,0,-177.34514051811993,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500874}",25,0,-123.07797907764709,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355865}",20,0,-132.61718871758208,"{0: 8, 1: 0, 2: 10, 3: 2, 4: 0}",0
20,False,"{'a': 0.99, 'e': 0.8179069375972307}",25,0,-162.90521567636634,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,15,-8.17663285280566,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-124.37070628575619,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-105.691047388584,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",35,0,-110.65863456610586,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
